Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
Google Snippets,Augmentation with max. window size 2,0.013228266,14.59322033898305,323.20338983050846,1.2492046695932202,62.45762711864407
Google Snippets,Augmentation with max. window size 2,0.026872146,14.5,327.3666666666667,1.1194918311,68.04878049051666
Google Snippets,Augmentation with max. window size 2,0.040958608,14.5,366.28333333333336,0.9900461947333336,73.60655737683332
Google Snippets,Augmentation with max. window size 2,0.055517328,14.5,363.31666666666666,0.9261211434833334,76.14457831233334
Google Snippets,Augmentation with max. window size 2,0.07058107400000001,14.5,391.3666666666667,0.8838520541333332,76.9339622645
Google Snippets,Augmentation with max. window size 2,0.086186148,14.64406779661017,403.76271186440675,0.8568932363559322,77.75587964864405
Google Snippets,Augmentation with max. window size 2,0.102372909,14.5,404.46666666666664,0.8030884607500001,79.85838779933333
Google Snippets,Augmentation with max. window size 2,0.11918640800000001,14.5,392.65,0.7892499279999999,79.8782771535
Google Snippets,Augmentation with max. window size 2,0.13667714,14.5,416.4,0.7727210344000004,80.4820261435
Google Snippets,Augmentation with max. window size 2,0.15490196,14.5,293.71666666666664,0.7280260922666666,81.147186148
Google Snippets,Augmentation with max. window size 2,0.173925197,14.5,278.9166666666667,0.70188241545,81.69884169916665
Google Snippets,Augmentation with max. window size 2,0.193820026,14.5,269.56666666666666,0.6905295770999997,81.7589388706667
Google Snippets,Augmentation with max. window size 2,0.214670165,14.5,275.6,0.6523621101833332,83.09895833333333
Google Snippets,Augmentation with max. window size 2,0.236572006,14.5,276.03333333333336,0.6611772993000001,82.5284090905
Google Snippets,Augmentation with max. window size 2,0.25963731100000004,14.5,273.6166666666667,0.63037747055,83.77691645150001
Google Snippets,Augmentation with max. window size 2,0.283996656,14.017543859649123,282.05263157894734,0.6296255205964911,83.563518725614
Google Snippets,Augmentation with max. window size 2,0.30980392,14.254237288135593,225.38983050847457,0.5951560521016952,84.48472370220338
Google Snippets,Augmentation with max. window size 2,0.33724216799999995,13.785714285714286,228.83928571428572,0.5906893153392856,84.50839499125001
Google Snippets,Augmentation with max. window size 2,0.366531544,14.035714285714286,220.17857142857142,0.5703215046964287,85.00655307999999
Google Snippets,Augmentation with max. window size 2,0.397940009,13.72549019607843,218.66666666666666,0.5701382030196077,85.2179385272549
Google Snippets,Augmentation with max. window size 2,0.43179827600000004,13.5,223.4,0.5476218984799999,85.3239875372
Google Snippets,Augmentation with max. window size 2,0.46852108299999995,13.384615384615385,193.25,0.5367248805576924,85.79626972750003
Google Snippets,Augmentation with max. window size 2,0.508638306,13.285714285714286,194.83673469387756,0.5113627651836735,86.63898848816328
Google Snippets,Augmentation with max. window size 2,0.5528419689999999,13.708333333333334,191.41666666666666,0.49472074054166676,86.82918185416668
Google Snippets,Augmentation with max. window size 2,0.602059991,13.375,173.4375,0.4927095153125001,86.87918526708334
Google Snippets,Augmentation with max. window size 2,0.6575773189999999,13.170212765957446,168.63829787234042,0.4888401161702128,87.04694774340425
Google Snippets,Augmentation with max. window size 2,0.7212463990000001,12.9,204.375,0.48785562792500003,87.379880137
Google Snippets,Augmentation with max. window size 2,0.795880017,13.170212765957446,157.10638297872342,0.4552957875957447,88.13982423659576
Google Snippets,Augmentation with max. window size 2,0.886056648,13.227272727272727,153.11363636363637,0.44666018806818164,88.25426672409091
Google Snippets,Augmentation with max. window size 2,1.0,13.214285714285714,147.4047619047619,0.4201394581904762,89.00652195142857
