Start time,End time,Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
16:47.0,19:09.5,Google Snippets,No Augmentation,0.013228266,7,50,1.939079865,20
16:36.1,19:15.8,Google Snippets,No Augmentation,0.013228266,0,46,2.1098857,15
17:03.4,21:22.9,Google Snippets,Augmentation with max. window size 2,0.013228266,3,209,1.263898325,70
16:48.7,21:33.4,Google Snippets,No Augmentation,0.013228266,14,293,1.485636464,65
19:09.5,21:58.6,Google Snippets,No Augmentation,0.013228266,8,337,0.805870242,80
17:22.3,21:58.8,Google Snippets,Augmentation with max. window size 3,0.013228266,6,262,0.813539329,90
17:03.4,21:59.1,Google Snippets,Augmentation with max. window size 2,0.013228266,10,290,2.081928226,15
17:03.4,22:05.3,Google Snippets,Augmentation with max. window size 2,0.013228266,17,303,1.309347652,70
17:03.4,22:11.0,Google Snippets,Augmentation with max. window size 2,0.013228266,24,323,1.322390147,60
17:22.3,22:11.6,Google Snippets,Augmentation with max. window size 3,0.013228266,27,297,1.279025959,65
21:33.4,22:14.0,Google Snippets,No Augmentation,0.013228266,15,41,1.984122693,30
16:48.7,22:16.1,Google Snippets,No Augmentation,0.013228266,21,380,1.737550899,50
17:22.3,22:25.4,Google Snippets,Augmentation with max. window size 3,0.013228266,13,325,1.200889099,65
21:58.6,22:37.5,Google Snippets,No Augmentation,0.013228266,9,47,2.017320583,10
19:15.8,22:54.9,Google Snippets,No Augmentation,0.013228266,1,422,1.191768953,60
17:22.3,22:55.4,Google Snippets,Augmentation with max. window size 3,0.026872146,11,195,1.438615554,68.29268293
17:22.3,22:56.0,Google Snippets,Augmentation with max. window size 3,0.013228266,20,387,1.660387485,60
22:37.5,23:20.1,Google Snippets,No Augmentation,0.013228266,10,59,1.967625585,35
17:03.4,24:00.8,Google Snippets,Augmentation with max. window size 2,0.026872146,8,270,1.467256444,58.53658537
21:58.8,24:02.8,Google Snippets,Augmentation with max. window size 3,0.013228266,7,211,1.416329018,55
21:22.9,24:03.2,Google Snippets,Augmentation with max. window size 2,0.013228266,4,285,1.383773749,45
17:03.4,24:03.2,Google Snippets,Augmentation with max. window size 2,0.026872146,29,279,1.343808996,53.65853659
17:03.4,24:28.7,Google Snippets,Augmentation with max. window size 2,0.026872146,15,304,1.157446434,68.29268293
17:22.3,24:29.4,Google Snippets,Augmentation with max. window size 3,0.026872146,4,294,1.130188926,65.85365854
22:11.6,24:38.3,Google Snippets,Augmentation with max. window size 3,0.013228266,28,256,1.001384091,70
17:03.4,24:39.8,Google Snippets,Augmentation with max. window size 2,0.026872146,22,310,0.984887777,70.73170732
21:59.1,25:05.4,Google Snippets,Augmentation with max. window size 2,0.013228266,11,338,1.132645885,65
22:16.2,25:11.1,Google Snippets,No Augmentation,0.013228266,22,318,1.479194462,50
22:05.4,25:18.0,Google Snippets,Augmentation with max. window size 2,0.013228266,18,341,1.018610395,70
17:03.4,25:25.9,Google Snippets,Augmentation with max. window size 2,0.026872146,1,354,1.280077643,63.41463415
24:03.2,25:25.9,Google Snippets,Augmentation with max. window size 2,0.040958608,0,40,1.982656812,24.59016393
22:56.0,25:28.6,Google Snippets,Augmentation with max. window size 3,0.013228266,21,271,1.344139333,60
22:14.0,25:29.5,Google Snippets,No Augmentation,0.013228266,16,366,1.057124022,70
24:28.7,25:32.5,Google Snippets,Augmentation with max. window size 2,0.026872146,16,45,1.980561415,9.756097561
22:11.0,25:51.0,Google Snippets,Augmentation with max. window size 2,0.013228266,25,395,1.044906571,75
24:39.8,25:52.0,Google Snippets,Augmentation with max. window size 2,0.026872146,23,51,1.919940392,29.26829268
23:20.1,26:04.5,Google Snippets,No Augmentation,0.013228266,11,329,1.074861769,75
22:25.4,26:06.8,Google Snippets,Augmentation with max. window size 3,0.013228266,14,401,0.936203116,70
22:54.9,26:07.5,Google Snippets,No Augmentation,0.013228266,2,358,1.230146656,60
24:02.8,26:11.5,Google Snippets,Augmentation with max. window size 3,0.013228266,8,213,1.236959316,70
16:49.7,26:11.9,Google Snippets,No Augmentation,0.026872146,26,402,0.766619029,80.48780488
17:22.3,26:12.3,Google Snippets,Augmentation with max. window size 3,0.026872146,18,402,1.125700806,73.17073171
17:22.3,26:15.5,Google Snippets,Augmentation with max. window size 3,0.026872146,25,403,1.008403796,73.17073171
26:04.5,26:35.3,Google Snippets,No Augmentation,0.013228266,12,30,1.933372804,25
24:38.4,26:37.2,Google Snippets,Augmentation with max. window size 3,0.013228266,29,199,1.273505728,65
24:03.2,27:11.9,Google Snippets,Augmentation with max. window size 2,0.013228266,5,343,1.382627589,55
25:28.7,27:20.4,Google Snippets,Augmentation with max. window size 3,0.013228266,22,178,1.579739009,45
17:22.3,27:29.7,Google Snippets,Augmentation with max. window size 3,0.040958608,23,305,0.895399654,77.04918033
16:59.0,27:36.9,Google Snippets,Augmentation with max. window size 2,0.040958608,20,365,0.832652605,78.68852459
25:05.4,27:37.6,Google Snippets,Augmentation with max. window size 2,0.013228266,12,251,1.16955928,75
25:11.4,27:45.7,Google Snippets,No Augmentation,0.013228266,23,268,1.400257882,70
17:22.3,27:53.9,Google Snippets,Augmentation with max. window size 3,0.040958608,2,327,0.99973535,70.49180328
17:04.7,28:05.7,Google Snippets,No Augmentation,0.013228266,28,365,1.296709918,60
25:18.0,28:10.2,Google Snippets,Augmentation with max. window size 2,0.013228266,19,302,0.88200911,85
17:03.4,28:14.4,Google Snippets,Augmentation with max. window size 2,0.040958608,6,358,0.985131914,73.7704918
17:22.3,28:18.2,Google Snippets,Augmentation with max. window size 3,0.040958608,16,335,0.990363414,72.13114754
16:59.0,28:24.4,Google Snippets,Augmentation with max. window size 2,0.040958608,27,392,0.915534679,73.7704918
16:49.7,28:42.7,Google Snippets,No Augmentation,0.040958608,24,364,0.763783018,80.32786885
17:22.3,28:57.3,Google Snippets,Augmentation with max. window size 3,0.055517328,0,265,1.014261993,78.31325301
22:55.4,29:01.4,Google Snippets,Augmentation with max. window size 3,0.026872146,12,347,1.169103202,75.6097561
26:07.5,29:02.0,Google Snippets,No Augmentation,0.013228266,3,322,1.325522372,60
26:06.8,29:08.2,Google Snippets,Augmentation with max. window size 3,0.013228266,15,327,1.619405954,55
17:03.4,29:40.0,Google Snippets,Augmentation with max. window size 2,0.040958608,13,405,0.977380688,77.04918033
29:02.0,29:42.9,Google Snippets,No Augmentation,0.013228266,4,45,2.002748016,20
16:59.0,29:43.4,Google Snippets,Augmentation with max. window size 2,0.070581074,9,259,1.087713513,70.75471698
26:11.5,29:46.4,Google Snippets,Augmentation with max. window size 3,0.013228266,9,396,1.040720229,70
24:00.9,29:48.4,Google Snippets,Augmentation with max. window size 2,0.026872146,9,329,1.119489969,75.6097561
25:29.6,29:49.1,Google Snippets,No Augmentation,0.013228266,17,487,1.811567068,50
27:11.9,29:50.5,Google Snippets,Augmentation with max. window size 2,0.013228266,6,274,1.070893174,50
16:49.7,29:54.5,Google Snippets,No Augmentation,0.040958608,10,411,0.662459787,85.24590164
17:22.3,30:01.0,Google Snippets,Augmentation with max. window size 3,0.040958608,9,420,1.15267976,68.85245902
26:37.2,30:08.3,Google Snippets,Augmentation with max. window size 3,0.026872146,0,190,1.278356298,80.48780488
17:22.3,30:08.8,Google Snippets,Augmentation with max. window size 3,0.055517328,28,309,0.917498021,80.72289157
16:59.0,30:12.0,Google Snippets,Augmentation with max. window size 2,0.055517328,25,347,0.903442422,77.10843373
16:59.0,30:13.1,Google Snippets,Augmentation with max. window size 2,0.055517328,18,338,0.916830197,78.31325301
25:51.0,30:19.2,Google Snippets,Augmentation with max. window size 2,0.013228266,26,496,1.000036507,70
27:45.7,30:20.1,Google Snippets,No Augmentation,0.013228266,24,274,1.177461058,75
26:35.3,30:26.2,Google Snippets,No Augmentation,0.013228266,13,476,1.69441171,50
16:49.7,30:29.4,Google Snippets,No Augmentation,0.040958608,17,432,1.00356396,73.7704918
16:59.0,30:30.3,Google Snippets,Augmentation with max. window size 2,0.055517328,4,345,1.094800312,80.72289157
24:29.4,30:39.1,Google Snippets,Augmentation with max. window size 3,0.026872146,5,361,1.23916126,65.85365854
17:22.3,30:47.8,Google Snippets,Augmentation with max. window size 3,0.055517328,14,319,0.889371797,77.10843373
16:49.7,30:57.8,Google Snippets,No Augmentation,0.040958608,3,451,0.922376668,73.7704918
27:20.4,31:16.5,Google Snippets,Augmentation with max. window size 3,0.013228266,23,428,1.377094589,60
29:08.2,31:25.3,Google Snippets,Augmentation with max. window size 3,0.013228266,16,239,1.616925271,50
25:32.8,31:27.1,Google Snippets,Augmentation with max. window size 2,0.026872146,17,347,0.826659168,73.17073171
26:15.5,31:29.0,Google Snippets,Augmentation with max. window size 3,0.026872146,26,302,1.286160921,48.7804878
