Start time,End time,Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
2017-02-06 23:09:18.274387,2017-02-06 23:09:44.585330,TREC,No Augmentation,0.01322826573375524,0,127,4.15320014954,0.0
2017-02-06 23:09:44.585424,2017-02-06 23:10:34.170358,TREC,No Augmentation,0.026872146400301333,0,377,2.78668284416,27.2727280855
2017-02-06 23:10:34.170446,2017-02-06 23:11:30.943887,TREC,No Augmentation,0.04095860767890647,0,412,2.74365472794,32.3529422283
2017-02-06 23:11:30.943979,2017-02-06 23:12:39.912332,TREC,No Augmentation,0.05551732784983132,0,355,2.94761586189,24.4444444776
2017-02-06 23:12:39.912431,2017-02-06 23:14:17.751808,TREC,No Augmentation,0.07058107428570726,0,535,3.17510890961,38.5964900255
2017-02-06 23:14:17.751904,2017-02-06 23:15:21.510456,TREC,No Augmentation,0.08618614761628329,0,374,2.93147444725,34.2857152224
2017-02-06 23:15:21.510551,2017-02-06 23:16:47.233689,TREC,No Augmentation,0.10237290870955862,0,447,2.94154930115,31.325301528
2017-02-06 23:16:47.233780,2017-02-06 23:18:50.760369,TREC,No Augmentation,0.11918640771920863,0,628,2.62024378777,38.1443291903
2017-02-06 23:18:50.760483,2017-02-06 23:20:22.517611,TREC,No Augmentation,0.1366771398795441,0,398,2.85896754265,26.1261254549
2017-02-06 23:20:22.517708,2017-02-06 23:22:27.737254,TREC,No Augmentation,0.1549019599857432,0,596,2.36304759979,44.4444447756
2017-02-06 23:22:27.737354,2017-02-06 23:24:17.198478,TREC,No Augmentation,0.17392519729917355,0,494,2.65418124199,30.4964542389
2017-02-06 23:24:17.198574,2017-02-06 23:26:41.867531,TREC,No Augmentation,0.19382002601611292,0,621,2.61608195305,38.216561079
2017-02-06 23:26:41.867628,2017-02-06 23:30:13.132773,TREC,No Augmentation,0.21467016498923297,0,850,2.38061761856,47.7011501789
2017-02-06 23:30:13.132876,2017-02-06 23:33:38.555992,TREC,No Augmentation,0.23657200643706267,0,785,2.20336461067,37.5
2017-02-06 23:33:38.556089,2017-02-06 23:36:39.888747,TREC,No Augmentation,0.2596373105057561,0,654,2.39511418343,39.5238101482
2017-02-06 23:36:39.888848,2017-02-06 23:41:50.831207,TREC,No Augmentation,0.2839966563652008,0,775,2.41028738022,39.565217495
2017-02-06 23:41:50.831349,2017-02-06 23:45:32.483736,TREC,No Augmentation,0.30980391997148626,0,535,2.1275396347,49.4023919106
2017-02-06 23:45:32.483888,2017-02-06 23:49:26.131578,TREC,No Augmentation,0.3372421683184259,0,540,2.16938757896,43.5897439718
2017-02-06 23:49:26.131711,2017-02-06 23:53:37.068292,TREC,No Augmentation,0.36653154442041347,0,539,2.29705572128,42.9054051638
